Channel2,Gender,Race,Age,Age_Group,Province,Watch_Time,watch_time_classification,total_watch_time_hours,avg_watch_time_hours,viewing_date,Day,Date,Month,day_classification,viewing_segment_classification
ICC Cricket World Cup 2011,male,None,68,5. Senior,Gauteng,0:08:30,2. Short_watch,0.141666,0.141666,00:00.0,Tue,29,Mar,Weekday,5. Evening
CNN,male,None,54,4. Adult,Gauteng,0:00:59,1. Skim,0.016389,0.016389,17:00.0,Sat,2,Jan,Weekend,5. Evening
Channel O,male,black,34,3. Young Adult,Northern Cape,0:01:12,1. Skim,0.02,0.02,17:00.0,Thu,31,Mar,Weekday,6. Evening_Peak
Boomerang,male,black,49,4. Adult,Mpumalanga,0:05:47,2. Short_watch,0.096389,0.096389,50:00.0,Thu,28,Jan,Weekday,6. Evening_Peak
Boomerang,male,coloured,45,4. Adult,Western Cape,0:05:40,2. Short_watch,0.094444,0.094444,14:00.0,Sun,21,Feb,Weekend,6. Evening_Peak
Channel O,male,black,28,3. Young Adult,Limpopo,0:39:57,3. Regular_watch,0.665833,0.665833,11:00.0,Sat,30,Jan,Weekend,4. Afternoon
CNN,male,None,63,4. Adult,Kwazulu Natal,0:09:42,2. Short_watch,0.161667,0.161667,35:00.0,Mon,28,Mar,Weekday,3. Mid_Morning
Supersport Live Events,male,coloured,31,3. Young Adult,Western Cape,0:00:38,1. Skim,0.010556,0.010556,25:00.0,Fri,15,Jan,Weekday,6. Evening_Peak
Supersport Live Events,male,white,33,3. Young Adult,Eastern Cape,0:04:44,1. Skim,0.078889,0.078889,33:00.0,Fri,26,Feb,Weekday,5. Evening
SuperSport Blitz,male,white,33,3. Young Adult,Eastern Cape,0:01:40,1. Skim,0.027778,0.027778,14:00.0,Thu,25,Feb,Weekday,4. Afternoon
Supersport Live Events,male,white,19,2. Teen,Eastern Cape,0:20:24,3. Regular_watch,0.34,0.34,21:00.0,Fri,11,Mar,Weekday,4. Afternoon
Africa Magic,male,coloured,41,4. Adult,Gauteng,0:00:14,1. Skim,0.003889,0.003889,39:00.0,Fri,22,Jan,Weekday,3. Mid_Morning
Boomerang,female,black,22,3. Young Adult,Limpopo,0:00:00,1. Skim,0,0.00E+00,38:00.0,Wed,6,Jan,Weekday,2. Morning_Peak
Trace TV,male,coloured,35,3. Young Adult,Western Cape,0:18:15,3. Regular_watch,0.304167,0.304167,05:00.0,Tue,29,Mar,Weekday,2. Morning_Peak
ICC Cricket World Cup 2011,male,indian_asian,16,2. Teen,Gauteng,0:02:30,1. Skim,0.041666,0.041666,53:00.0,Wed,30,Mar,Weekday,4. Afternoon
Trace TV,female,white,23,3. Young Adult,Gauteng,0:20:48,3. Regular_watch,0.346666,0.346666,44:00.0,Mon,15,Feb,Weekday,4. Afternoon
Boomerang,male,black,35,3. Young Adult,Gauteng,0:15:12,3. Regular_watch,0.253333,0.253333,21:00.0,Thu,25,Feb,Weekday,2. Morning_Peak
Supersport Live Events,male,coloured,46,4. Adult,Western Cape,0:11:42,2. Short_watch,0.195,0.195,28:00.0,Fri,29,Jan,Weekday,5. Evening
ICC Cricket World Cup 2011,male,None,32,3. Young Adult,Gauteng,0:00:28,1. Skim,0.007778,0.007778,48:00.0,Mon,14,Mar,Weekday,4. Afternoon
ICC Cricket World Cup 2011,male,None,32,3. Young Adult,Gauteng,0:00:34,1. Skim,0.009444,0.009444,40:00.0,Thu,25,Feb,Weekday,4. Afternoon
Channel O,male,None,32,3. Young Adult,Gauteng,0:00:18,1. Skim,0.005,0.005,42:00.0,Mon,28,Mar,Weekday,4. Afternoon
Supersport Live Events,male,coloured,25,3. Young Adult,Gauteng,0:10:56,2. Short_watch,0.182223,0.182223,05:00.0,Thu,4,Feb,Weekday,3. Mid_Morning
Cartoon Network,male,black,41,4. Adult,Western Cape,0:16:12,3. Regular_watch,0.27,0.27,00:00.0,Tue,1,Mar,Weekday,5. Evening
CNN,male,black,49,4. Adult,Gauteng,0:02:45,1. Skim,0.045833,0.045833,22:00.0,Mon,22,Feb,Weekday,5. Evening
ICC Cricket World Cup 2011,male,black,49,4. Adult,Gauteng,0:05:40,2. Short_watch,0.094444,0.094444,04:00.0,Thu,3,Mar,Weekday,4. Afternoon
CNN,male,white,59,4. Adult,Gauteng,0:02:57,1. Skim,0.049166,0.049166,50:00.0,Tue,5,Jan,Weekday,5. Evening
CNN,male,None,49,4. Adult,Western Cape,0:05:00,2. Short_watch,0.083333,0.083333,26:00.0,Tue,19,Jan,Weekday,6. Evening_Peak
Channel O,male,coloured,28,3. Young Adult,Gauteng,0:00:27,1. Skim,0.0075,0.0075,23:00.0,Sat,9,Jan,Weekend,4. Afternoon
ICC Cricket World Cup 2011,male,None,34,3. Young Adult,Eastern Cape,0:04:58,1. Skim,0.082778,0.082778,21:00.0,Sat,12,Mar,Weekend,5. Evening
Supersport Live Events,male,None,34,3. Young Adult,Eastern Cape,0:00:00,1. Skim,0,0.00E+00,45:00.0,Sun,27,Mar,Weekend,1. Graveyard
ICC Cricket World Cup 2011,male,indian_asian,36,4. Adult,Gauteng,0:00:04,1. Skim,0.001111,0.001111,25:00.0,Wed,30,Mar,Weekday,4. Afternoon
Supersport Live Events,male,indian_asian,32,3. Young Adult,Gauteng,1:39:42,4. Long_watch,1.661667,1.661667,29:00.0,Thu,24,Mar,Weekday,4. Afternoon
Supersport Live Events,male,indian_asian,32,3. Young Adult,Gauteng,0:12:52,2. Short_watch,0.214444,0.214444,32:00.0,Thu,24,Mar,Weekday,3. Mid_Morning
Supersport Live Events,male,indian_asian,39,4. Adult,Gauteng,0:01:26,1. Skim,0.023889,0.023889,10:00.0,Mon,28,Mar,Weekday,6. Evening_Peak
Trace TV,male,None,22,3. Young Adult,Western Cape,0:02:21,1. Skim,0.039166,0.039166,59:00.0,Wed,13,Jan,Weekday,3. Mid_Morning
Trace TV,male,None,22,3. Young Adult,Western Cape,0:00:18,1. Skim,0.005,0.005,04:00.0,Wed,13,Jan,Weekday,4. Afternoon
CNN,female,black,13,2. Teen,Eastern Cape,0:01:04,1. Skim,0.017778,0.017778,32:00.0,Sat,16,Jan,Weekend,5. Evening
ICC Cricket World Cup 2011,male,indian_asian,22,3. Young Adult,Gauteng,0:01:38,1. Skim,0.027223,0.027223,34:00.0,Wed,30,Mar,Weekday,4. Afternoon
Trace TV,male,black,32,3. Young Adult,Kwazulu Natal,0:49:24,3. Regular_watch,0.823334,0.823334,27:00.0,Fri,29,Jan,Weekday,3. Mid_Morning
